count,mean,std,min,25%,50%,75%,max,missing_count,missing_pct,unique_count,skewness,kurtosis
338644.0,1.205,5.087,-0.16,0.18,0.55,1.31,189.18,2,0.001,1591,25.033,727.842
338646.0,146.533,51.846,40.227,102.15,144.997,182.092,255.064,0,0.0,338645,0.242,-0.886
338646.0,0.006,0.074,0.0,0.0,0.0,0.0,1.0,0,0.0,2,13.342,176.005
338638.0,-0.0,1.092,-24.084,0.0,0.0,0.0,189.18,8,0.002,3313,88.671,11948.119
338644.0,0.57,3.02,-0.59,0.0,0.13,0.58,189.18,2,0.001,1688,40.679,1995.29
338646.0,146.534,51.826,40.383,102.178,144.983,182.086,254.717,0,0.0,338645,0.241,-0.886
338646.0,0.27,0.963,0.0,0.021,0.021,0.043,176.546,0,0.0,24026,27.442,3571.167
338646.0,-0.09,1.813,-153.873,-0.477,-0.02,0.288,143.782,0,0.0,80385,-0.626,695.505
338646.0,0.158,0.364,0.0,0.0,0.0,0.0,1.0,0,0.0,2,1.88,1.535
338646.0,147.112,51.688,40.88,102.72,145.76,182.6,255.1,0,0.0,18261,0.238,-0.885
338646.0,146.233,51.959,40.01,101.79,144.65,181.83,255.09,0,0.0,19184,0.243,-0.885
338646.0,54.143,19.373,0.0,44.867,60.5,68.9,79.6,0,0.0,2414,-1.184,0.635
338646.0,0.15,0.989,0.0,0.0,0.0,0.036,171.707,0,0.0,5021,92.176,12387.94
338640.0,-0.0,1.092,-24.084,0.0,0.0,0.0,189.18,6,0.002,3313,88.671,11948.189
338644.0,0.002,0.009,0.0,0.0,0.001,0.002,0.998,2,0.001,277262,40.66,2623.552
338642.0,0.295,1.014,0.0,0.036,0.117,0.33,84.518,4,0.001,130215,47.749,3085.457
338646.0,0.837,0.548,0.0,0.35,0.795,1.251,2.093,0,0.0,19754,0.328,-0.944
338644.0,0.0,5.604,-719.82,0.0,0.0,0.0,719.82,2,0.001,34580,-0.03,1685.14
338644.0,7.739,6.41,0.0,2.749,5.671,11.466,37.462,2,0.001,302945,1.189,1.088
338644.0,-0.0,0.236,-4.015,-0.033,-0.007,0.01,6.97,2,0.001,8741,18.866,420.633
338644.0,2911.557,98351.032,0.0,2.243,3.057,4.654,16065465.795,2,0.001,155456,92.967,12142.836
338646.0,0.269,0.963,0.0,0.023,0.023,0.044,180.577,0,0.0,18784,28.673,3881.247
338644.0,4.968,5.082,0.0,1.578,3.136,6.518,38.208,2,0.001,291018,1.912,4.098
338640.0,54.144,21.746,0.0,43.0,62.0,71.0,90.0,6,0.002,90,-1.158,0.31
338644.0,-0.35,0.732,-24.084,-0.37,-0.06,0.0,16.33,2,0.001,1754,-4.677,54.771
338644.0,0.004,0.012,0.0,0.0,0.002,0.004,1.005,2,0.001,330120,31.37,1421.914
338646.0,-0.09,1.3,-76.981,-0.429,-0.048,0.243,71.908,0,0.0,131913,-0.355,191.52
338644.0,2.609,3.044,0.0,0.769,1.767,3.458,152.18,2,0.001,160175,12.133,500.529
338642.0,0.399,1.009,0.0,0.093,0.225,0.485,34.534,4,0.001,159661,20.586,537.917
338646.0,0.837,0.547,0.0,0.351,0.79,1.255,2.11,0,0.0,31137,0.319,-0.95
338644.0,-1.094,1.25,-24.084,-1.45,-0.66,-0.26,0.0,2,0.001,1546,-2.756,18.012
338646.0,2.61,7.108,0.0,0.64,1.51,3.18,209.09,0,0.0,4333,18.303,399.342
338646.0,0.004,0.028,0.0,0.0,0.0,0.0,1.0,0,0.0,12,12.33,231.763
338646.0,0.0,0.014,0.0,0.0,0.0,0.0,1.0,0,0.0,2,70.549,4975.162
338646.0,0.0,0.02,0.0,0.0,0.0,0.0,1.0,0,0.0,2,48.804,2379.867
338646.0,0.006,0.076,0.0,0.0,0.0,0.0,1.0,0,0.0,2,13.051,168.317
338646.0,0.006,0.076,0.0,0.0,0.0,0.0,1.0,0,0.0,2,12.927,165.097
338646.0,0.001,0.023,0.0,0.0,0.0,0.0,1.0,0,0.0,2,43.461,1886.906
338646.0,0.015,0.123,0.0,0.0,0.0,0.0,1.0,0,0.0,2,7.848,59.594
